Order Date,Contact Name,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,Sales,Quantity,Discount,Profit,Discount Category,Profit Margin,Year-Month
2023-04-16,Adrian Hunter,Sweden,Stockholm,EMEA,NOR,Engie,1062,Energy,SMB,Support,15.552,3,0.2,5.4432,Low,0.35000000000000003,2023-04
2022-12-06,Adrian Abraham,Canada,Toronto,AMER,NAMER,Microsoft,1066,Tech,SMB,ContactMatcher,407.976,3,0.2,132.5922,Low,0.32499999999999996,2022-12
2021-11-22,Emily Morrison,Japan,Saitama,APJ,JAPN,Pfizer,1074,Healthcare,Enterprise,OneView,68.81,5,0.8,-123.858,High,-1.8,2021-11
2021-11-22,Emily Morrison,Japan,Saitama,APJ,JAPN,Pfizer,1074,Healthcare,Enterprise,ContactMatcher,2.544,3,0.8,-3.816,High,-1.5,2021-11
2020-11-11,Claire Welch,Italy,Naples,EMEA,EU,Toyota Motor,1087,Manufacturing,SMB,Marketing Suite - Gold,665.88,6,0.0,13.3176,Low,0.02,2020-11
2020-05-13,Carol Campbell,Turkey,Ankara,EMEA,MEA,Home Depot,1047,Retail,SMB,Marketing Suite - Gold,55.5,2,0.0,9.99,Low,0.18,2020-05
2020-08-27,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,ChatBot Plugin,8.56,2,0.0,2.4824,Low,0.29,2020-08
2020-08-27,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,Site Analytics,213.48,3,0.2,16.011,Low,0.075,2020-08
2020-08-27,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,ContactMatcher,22.72,4,0.2,7.384,Low,0.325,2020-08
2022-12-10,Melanie Sharp,Costa Rica,San José,AMER,LATAM,Carrefour,1048,Retail,Strategic,ChatBot Plugin,19.46,7,0.0,5.0596,Low,0.25999999999999995,2022-12
2022-12-10,Melanie Sharp,Costa Rica,San José,AMER,LATAM,Carrefour,1048,Retail,Strategic,OneView,60.34,7,0.0,15.6884,Low,0.25999999999999995,2022-12
2023-07-17,Luke Bower,France,Paris,EMEA,EU-WEST,Costco Wholesale,1025,Retail,SMB,FinanceHub,71.372,2,0.3,-1.0196,Low,-0.014285714285714287,2023-07
2021-09-25,Jonathan Ferguson,Turkey,Istanbul,EMEA,MEA,McKesson,1063,Consumer Products,SMB,ContactMatcher,1044.63,3,0.0,240.2649,Low,0.22999999999999998,2021-09
2022-01-16,Sam Parsons,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,SMB,ContactMatcher,11.648,2,0.2,4.2224,Low,0.36250000000000004,2022-01
2022-01-16,Sam Parsons,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,SMB,Data Smasher,90.57,3,0.0,11.7741,Low,0.13,2022-01
2021-09-17,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,Marketing Suite,3083.43,7,0.5,-1665.0522,Low,-0.54,2021-09
2021-09-17,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ContactMatcher,9.618,2,0.7,-7.0532,High,-0.7333333333333334,2021-09
2021-09-17,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack,124.2,3,0.2,15.525,Low,0.125,2021-09
2021-09-17,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack - Gold,3.264,2,0.2,1.1016,Low,0.3375,2021-09
2021-09-17,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ChatBot Plugin,86.304,6,0.2,9.7092,Low,0.11249999999999999,2021-09
2021-09-17,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ContactMatcher,6.858,6,0.7,-5.715,High,-0.8333333333333334,2021-09
2021-09-17,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ChatBot Plugin,15.76,2,0.2,3.546,Low,0.22499999999999998,2021-09
2023-10-20,Amelia Campbell,Japan,Tokyo,APJ,JAPN,Glencore,1083,Misc,Enterprise,Support,29.472,3,0.2,9.9468,Low,0.33749999999999997,2023-10
2022-12-09,Chloe Short,Japan,Aichi,APJ,JAPN,Procter & Gamble,1077,Consumer Products,Strategic,Site Analytics,1097.544,7,0.2,123.4737,Low,0.11249999999999999,2022-12
2022-12-09,Chloe Short,Japan,Aichi,APJ,JAPN,Procter & Gamble,1077,Consumer Products,Strategic,SaaS Connector Pack,190.92,5,0.6,-147.963,High,-0.775,2022-12
2021-12-27,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,SaaS Connector Pack - Gold,113.328,9,0.2,35.415,Low,0.3125,2021-12
2021-12-27,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,Marketing Suite,532.3992,3,0.32,-46.9764,Low,-0.08823529411764706,2021-12
2021-12-27,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,FinanceHub,212.058,3,0.3,-15.147,Low,-0.07142857142857144,2021-12
2021-12-27,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,Site Analytics,371.168,4,0.2,41.7564,Low,0.1125,2021-12
2023-09-11,Karen Mathis,Australia,Wollongong,APJ,ANZ,Pemex,1058,Energy,Strategic,Site Analytics,147.168,4,0.2,16.5564,Low,0.11249999999999999,2023-09
2022-07-18,Dylan Dickens,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,Strategic,Marketing Suite - Gold,77.88,2,0.0,3.894,Low,0.05,2022-07
2023-09-20,Sophie Lewis,Germany,Hanover,EMEA,EU-WEST,Samsung Electronics,1015,Tech,Strategic,Marketing Suite - Gold,95.616,2,0.2,9.5616,Low,0.1,2023-09
2022-03-12,Gavin Mitchell,Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,1028,Tech,Strategic,Data Smasher,45.98,2,0.0,19.7714,Low,0.43000000000000005,2022-03
2022-03-12,Gavin Mitchell,Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,1028,Tech,Strategic,ContactMatcher,17.46,2,0.0,8.2062,Low,0.47000000000000003,2022-03
2020-10-20,Katherine Dowd,Brazil,Salvador,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,Marketing Suite - Gold,211.96,4,0.0,8.4784,Low,0.04,2020-10
2022-06-21,Harry Brown,Philippines,Davao City,APJ,APAC,Bank of America Corp.,1011,Finance,SMB,Data Smasher,45.0,3,0.0,4.95,Low,0.11,2022-06
2022-06-21,Harry Brown,Philippines,Davao City,APJ,APAC,Bank of America Corp.,1011,Finance,SMB,Site Analytics,21.8,2,0.0,6.104,Low,0.27999999999999997,2022-06
2021-04-18,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,ContactMatcher,38.22,6,0.0,17.9634,Low,0.47000000000000003,2021-04
2021-04-18,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,FinanceHub,75.18,6,0.0,35.3346,Low,0.47,2021-04
2021-04-18,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,SaaS Connector Pack,6.16,2,0.0,2.9568,Low,0.48,2021-04
2021-04-18,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,FinanceHub,89.99,1,0.0,17.0981,Low,0.19,2021-04
2022-12-12,Joseph Newman,United Kingdom,London,EMEA,UKIR,Tesco,1059,Retail,Strategic,Storage,15.26,7,0.0,6.2566,Low,0.41,2022-12
2022-12-12,Joseph Newman,United Kingdom,London,EMEA,UKIR,Tesco,1059,Retail,Strategic,Site Analytics,1029.95,5,0.0,298.6855,Low,0.29,2022-12
2022-06-18,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Marketing Suite - Gold,208.56,6,0.0,52.14,Low,0.25,2022-06
2022-06-18,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Support,32.4,5,0.0,15.552,Low,0.48,2022-06
2022-06-18,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,FinanceHub,319.41,5,0.1,7.098,Low,0.02222222222222222,2022-06
2022-06-18,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Support,14.56,2,0.0,6.9888,Low,0.48,2022-06
2022-06-18,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Data Smasher,30.0,2,0.0,3.3,Low,0.11,2022-06
2022-06-18,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,ContactMatcher,48.48,4,0.2,16.362,Low,0.33749999999999997,2022-06
2022-06-18,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,ChatBot Plugin,1.68,1,0.0,0.84,Low,0.5,2022-06
2021-11-24,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,Data Smasher,13.98,2,0.0,6.1512,Low,0.44,2021-11
2021-11-24,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,ContactMatcher,25.824,6,0.2,9.3612,Low,0.3625,2021-11
2021-11-24,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,Support,146.73,3,0.0,68.9631,Low,0.47000000000000003,2021-11
2021-11-24,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,SaaS Connector Pack,79.76,4,0.0,22.3328,Low,0.27999999999999997,2021-11
2021-04-30,Eric McLean,Australia,Sydney,APJ,ANZ,Abbott Laboratories,1001,Healthcare,Enterprise,FinanceHub,213.115,5,0.3,-15.2225,Low,-0.07142857142857142,2021-04
2020-12-05,Leah Clarkson,Chile,Puente Alto,AMER,LATAM,Morgan Stanley,1068,Finance,Strategic,ChatBot Plugin,1113.024,8,0.2,111.3024,Low,0.10000000000000002,2020-12
2020-12-05,Leah Clarkson,Chile,Puente Alto,AMER,LATAM,Morgan Stanley,1068,Finance,Strategic,Site Analytics,167.968,4,0.2,62.988,Low,0.375,2020-12
2022-06-05,Alison Davidson,Spain,Madrid,EMEA,EU-WEST,Fannie Mae,1035,Finance,SMB,Support,75.88,2,0.0,35.6636,Low,0.4700000000000001,2022-06
2022-09-19,Sophie Vance,United Kingdom,London,EMEA,UKIR,Aetna,1002,Healthcare,SMB,ContactMatcher,4.616,1,0.2,1.731,Low,0.37500000000000006,2022-09
2023-09-15,Neil Gill,Brazil,Rio de Janeiro,AMER,LATAM,Intel,1051,Tech,SMB,Support,19.05,3,0.0,8.763,Low,0.45999999999999996,2023-09
2021-04-26,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,FinanceHub,831.936,8,0.2,-114.3912,Low,-0.13749999999999998,2021-04
2021-04-26,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,SaaS Connector Pack,97.04,2,0.2,1.213,Low,0.0125,2021-04
2021-04-26,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,Marketing Suite - Gold,72.784,1,0.2,-18.196,Low,-0.25,2021-04
2023-12-10,Maria Dyer,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,Strategic,ContactMatcher,1.248,3,0.8,-1.9344,High,-1.5499999999999998,2023-12
2023-12-10,Maria Dyer,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,Strategic,SaaS Connector Pack,9.708,3,0.6,-5.8248,High,-0.6,2023-12
2023-12-10,Maria Dyer,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,Strategic,Marketing Suite - Gold,27.24,3,0.2,2.724,Low,0.10000000000000002,2023-12
2020-11-26,Anne Lee,Japan,Tokyo,APJ,JAPN,Oracle,1072,Tech,SMB,SaaS Connector Pack,19.3,5,0.6,-14.475,High,-0.75,2020-11
2022-06-13,Julia Ellison,Portugal,Lisboa,EMEA,EU-WEST,Tyson Foods,1088,Consumer Products,Strategic,OneView,208.16,1,0.0,56.2032,Low,0.27,2022-06
2022-06-13,Julia Ellison,Portugal,Lisboa,EMEA,EU-WEST,Tyson Foods,1088,Consumer Products,Strategic,ContactMatcher,16.74,3,0.0,8.0352,Low,0.48000000000000004,2022-06
2020-10-12,Gordon McLean,United States,Los Angeles,AMER,NAMER,Verizon Communications,1094,Communications,SMB,ChatBot Plugin,14.9,5,0.0,4.172,Low,0.27999999999999997,2020-10
2020-10-12,Gordon McLean,United States,Los Angeles,AMER,NAMER,Verizon Communications,1094,Communications,SMB,Marketing Suite - Gold,21.39,1,0.0,6.2031,Low,0.29,2020-10
2021-09-03,Jessica Buckland,Sweden,Uppsala,EMEA,NOR,Itochu,1032,Finance,Strategic,SaaS Connector Pack - Gold,200.984,7,0.2,62.8075,Low,0.3125,2021-09
2023-11-14,Bernadette Nolan,Australia,Sydney,APJ,ANZ,Royal Dutch Shell,1031,Energy,Enterprise,Marketing Suite - Gold,230.376,3,0.2,-48.9549,Low,-0.2125,2023-11
2023-05-29,Katherine Dowd,Colombia,Bogotá,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,FinanceHub,301.96,2,0.0,33.2156,Low,0.11000000000000001,2023-05
2023-10-27,Sonia Ince,Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,1052,Transportation,SMB,Data Smasher,19.99,1,0.0,6.7966,Low,0.34,2023-10
2023-10-27,Sonia Ince,Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,1052,Transportation,SMB,FinanceHub,6.16,2,0.0,2.9568,Low,0.48,2023-10
2022-04-06,William Lewis,Japan,Tokyo,APJ,JAPN,Fannie Mae,1035,Finance,Enterprise,Marketing Suite - Gold,158.368,7,0.2,13.8572,Low,0.08750000000000001,2022-04
2022-09-18,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,ChatBot Plugin,20.1,3,0.0,6.633,Low,0.32999999999999996,2022-09
2022-09-18,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,Site Analytics,73.584,2,0.2,8.2782,Low,0.11249999999999999,2022-09
2022-09-18,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,Support,6.48,1,0.0,3.1104,Low,0.4799999999999999,2022-09
2021-01-31,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,Support,12.96,2,0.0,6.2208,Low,0.4799999999999999,2021-01
2021-01-31,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,SaaS Connector Pack,53.34,3,0.0,16.5354,Low,0.30999999999999994,2021-01
2021-01-31,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,ContactMatcher,32.96,2,0.0,16.1504,Low,0.49000000000000005,2021-01
2023-11-07,Peter Quinn,Belgium,Brussels,EMEA,EU-WEST,Walgreens,1095,Retail,Enterprise,ContactMatcher,5.682,1,0.7,-3.788,High,-0.6666666666666666,2023-11
2023-11-10,Max Marshall,United Kingdom,London,EMEA,UKIR,Boeing,1014,Manufacturing,Enterprise,SaaS Connector Pack,96.53,7,0.0,40.5426,Low,0.42,2023-11
2023-06-18,Jan Watson,United States,Los Angeles,AMER,NAMER,Valero Energy,1093,Energy,SMB,ContactMatcher,51.312,3,0.2,17.9592,Low,0.35,2023-06
2022-09-07,Carol Ball,Luxembourg,Luxembourg,EMEA,EU-WEST,Nestle,1089,Consumer Products,Strategic,OneView,77.88,6,0.0,22.5852,Low,0.29000000000000004,2022-09
2022-08-30,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,Support,64.624,7,0.2,22.6184,Low,0.35000000000000003,2022-08
2022-08-30,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,Data Smasher,95.976,3,0.2,-10.7973,Low,-0.1125,2022-08
2022-08-30,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,ContactMatcher,1.788,3,0.8,-3.0396,High,-1.7,2022-08
2022-12-02,Penelope Peake,Luxembourg,Luxembourg,EMEA,EU-WEST,Trafigura Group,1100,Finance,SMB,Support,23.92,4,0.0,11.7208,Low,0.49,2022-12
2021-11-13,Amy Scott,Russia,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,Data Smasher,238.896,6,0.2,-26.8758,Low,-0.11250000000000002,2021-11
2021-11-13,Amy Scott,Russia,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,SaaS Connector Pack,102.36,3,0.2,-3.8385,Low,-0.0375,2021-11
2021-11-13,Amy Scott,Russia,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,ContactMatcher,36.882,3,0.7,-25.8174,High,-0.7000000000000001,2021-11
2023-11-24,Carl Jackson,Sweden,Stockholm,EMEA,NOR,Cisco Systems,1019,Tech,SMB,Data Smasher,74.112,8,0.2,17.6016,Low,0.23750000000000004,2023-11
2023-11-24,Carl Jackson,Sweden,Stockholm,EMEA,NOR,Cisco Systems,1019,Tech,SMB,Site Analytics,27.992,1,0.2,2.0994,Low,0.075,2023-11
2023-11-24,Carl Jackson,Sweden,Stockholm,EMEA,NOR,Cisco Systems,1019,Tech,SMB,ChatBot Plugin,3.304,1,0.2,1.0738,Low,0.32500000000000007,2023-11
2021-10-15,Joe Wallace,Australia,Canberra,APJ,ANZ,Nissan Motor,1098,Transportation,Enterprise,Data Smasher,339.96,5,0.2,67.992,Low,0.20000000000000004,2021-10
2023-12-26,Luke Mills,United Kingdom,London,EMEA,UKIR,Prudential Financial,1078,Finance,Strategic,SaaS Connector Pack,41.96,2,0.0,10.9096,Low,0.25999999999999995,2023-12
2022-11-04,Alexandra Dyer,Netherlands,The Hague,EMEA,EU-WEST,Walmart,1096,Retail,SMB,ChatBot Plugin,75.96,2,0.0,22.788,Low,0.30000000000000004,2022-11
2022-11-04,Alexandra Dyer,Netherlands,The Hague,EMEA,EU-WEST,Walmart,1096,Retail,SMB,ContactMatcher,27.24,6,0.0,13.3476,Low,0.49000000000000005,2022-11
2020-08-25,Rebecca Dickens,Mexico,Mexico City,AMER,LATAM,Amazon,1004,Tech,SMB,Storage,40.096,14,0.2,14.5348,Low,0.36250000000000004,2020-08
2020-08-25,Rebecca Dickens,Mexico,Mexico City,AMER,LATAM,Amazon,1004,Tech,SMB,SaaS Connector Pack - Gold,4.72,2,0.2,1.652,Low,0.35,2020-08
2020-08-25,Rebecca Dickens,Mexico,Mexico City,AMER,LATAM,Amazon,1004,Tech,SMB,Support,23.976,3,0.2,7.4925,Low,0.3125,2020-08
2020-08-25,Rebecca Dickens,Mexico,Mexico City,AMER,LATAM,Amazon,1004,Tech,SMB,SaaS Connector Pack - Gold,130.464,6,0.2,44.0316,Low,0.33749999999999997,2020-08
2021-03-02,Audrey Hardacre,Canada,Toronto,AMER,NAMER,Trafigura Group,1100,Finance,SMB,ContactMatcher,787.53,3,0.0,165.3813,Low,0.21000000000000002,2021-03
2021-04-05,Jennifer Dowd,South Africa,Cape Town,EMEA,MEA,Gazprom,1027,Energy,Strategic,ContactMatcher,157.794,1,0.7,-115.7156,High,-0.7333333333333333,2021-04
2022-06-13,Natalie Sanderson,Philippines,Manila,APJ,APAC,Aetna,1002,Healthcare,SMB,SaaS Connector Pack,47.04,3,0.0,18.3456,Low,0.39,2022-06
2022-06-13,Natalie Sanderson,Philippines,Manila,APJ,APAC,Aetna,1002,Healthcare,SMB,ContactMatcher,30.84,4,0.0,13.878,Low,0.45,2022-06
2022-06-13,Natalie Sanderson,Philippines,Manila,APJ,APAC,Aetna,1002,Healthcare,SMB,Marketing Suite - Gold,226.56,6,0.0,63.4368,Low,0.27999999999999997,2022-06
2022-06-13,Natalie Sanderson,Philippines,Manila,APJ,APAC,Aetna,1002,Healthcare,SMB,SaaS Connector Pack - Gold,115.02,9,0.0,51.759,Low,0.45,2022-06
2022-06-13,Natalie Sanderson,Philippines,Manila,APJ,APAC,Aetna,1002,Healthcare,SMB,Site Analytics,68.04,7,0.0,19.7316,Low,0.29,2022-06
2020-12-26,Samantha Rampling,Japan,Tokyo,APJ,JAPN,FedEx,1036,Transportation,Enterprise,FinanceHub,600.558,3,0.3,-8.5794,Low,-0.014285714285714285,2020-12
2020-09-20,Sally Berry,Australia,Geelong,APJ,ANZ,Tesco,1059,Retail,SMB,ContactMatcher,617.7,6,0.5,-407.682,Low,-0.66,2020-09
2023-11-06,Anthony Clark,Chile,Santiago,AMER,LATAM,Honda Motor,1045,Manufacturing,SMB,ContactMatcher,2.388,2,0.7,-1.8308,High,-0.7666666666666667,2023-11
2023-11-06,Anthony Clark,Chile,Santiago,AMER,LATAM,Honda Motor,1045,Manufacturing,SMB,Marketing Suite - Gold,243.992,7,0.2,30.499,Low,0.125,2023-11
2022-11-07,Victor Short,United States,New York City,AMER,NAMER,Prudential Financial,1078,Finance,Enterprise,FinanceHub,81.424,2,0.2,-9.1602,Low,-0.11249999999999999,2022-11
2022-11-07,Victor Short,United States,New York City,AMER,NAMER,Prudential Financial,1078,Finance,Enterprise,SaaS Connector Pack,238.56,3,0.0,26.2416,Low,0.10999999999999999,2022-11
2023-02-03,Austin Newman,Mexico,Mexico City,AMER,LATAM,Banco Santander,1101,Finance,Strategic,Site Analytics,59.97,5,0.4,-11.994,Low,-0.2,2023-02
2023-02-03,Austin Newman,Mexico,Mexico City,AMER,LATAM,Banco Santander,1101,Finance,Strategic,Support,78.304,2,0.2,29.364,Low,0.375,2023-02
2023-02-03,Austin Newman,Mexico,Mexico City,AMER,LATAM,Banco Santander,1101,Finance,Strategic,Storage,21.456,9,0.2,6.9732,Low,0.325,2023-02
2022-10-14,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,Support,20.04,3,0.0,9.6192,Low,0.48,2022-10
2022-10-14,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,Support,35.44,1,0.0,16.6568,Low,0.47000000000000003,2022-10
2022-10-14,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,ChatBot Plugin,11.52,4,0.0,3.456,Low,0.3,2022-10
2022-10-14,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,Storage,4.02,2,0.0,1.9698,Low,0.49000000000000005,2022-10
2022-10-14,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,ContactMatcher,76.176,3,0.2,26.6616,Low,0.35,2022-10
2022-10-14,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,Support,65.88,6,0.0,18.4464,Low,0.28,2022-10
2022-10-14,Rose Scott,United States,Aurora,AMER,NAMER,CVS Health,1026,Retail,SMB,SaaS Connector Pack,43.12,14,0.0,20.6976,Low,0.48000000000000004,2022-10
2022-09-06,Tim Morrison,France,Paris,EMEA,EU-WEST,General Motors,1041,Manufacturing,Strategic,SaaS Connector Pack,82.8,2,0.2,10.35,Low,0.125,2022-09
2023-09-19,Harry Murray,United States,Los Angeles,AMER,NAMER,State Farm Insurance Cos.,1082,Finance,Strategic,ChatBot Plugin,8.82,3,0.0,2.3814,Low,0.27,2023-09
2023-09-19,Harry Murray,United States,Los Angeles,AMER,NAMER,State Farm Insurance Cos.,1082,Finance,Strategic,SaaS Connector Pack - Gold,10.86,3,0.0,5.1042,Low,0.47,2023-09
2023-09-19,Harry Murray,United States,Los Angeles,AMER,NAMER,State Farm Insurance Cos.,1082,Finance,Strategic,Support,143.7,3,0.0,68.976,Low,0.48000000000000004,2023-09
2023-12-23,Dylan Dowd,Poland,Warsaw,EMEA,EU-WEST,Comcast,1022,Communications,SMB,OneView,839.43,3,0.0,218.2518,Low,0.26,2023-12
2021-09-07,Angela Parsons,United States,Newark,AMER,NAMER,AmerisourceBergen,1007,Healthcare,SMB,Marketing Suite - Gold,671.93,7,0.0,20.1579,Low,0.030000000000000006,2021-09
2020-10-22,Lisa Oliver,Mexico,Monterrey,AMER,LATAM,Toyota Motor,1087,Manufacturing,Enterprise,SaaS Connector Pack,93.888,4,0.2,12.9096,Low,0.13749999999999998,2020-10
2022-12-06,Joseph Duncan,Italy,Rome,EMEA,EU,Walmart,1096,Retail,Strategic,Site Analytics,384.45,11,0.0,103.8015,Low,0.27,2022-12
2022-12-06,Joseph Duncan,Italy,Rome,EMEA,EU,Walmart,1096,Retail,Strategic,Site Analytics,149.97,3,0.0,5.9988,Low,0.04,2022-12
2022-12-06,Joseph Duncan,Italy,Rome,EMEA,EU,Walmart,1096,Retail,Strategic,FinanceHub,1951.84,8,0.0,585.552,Low,0.30000000000000004,2022-12
2022-12-06,Joseph Duncan,Italy,Rome,EMEA,EU,Walmart,1096,Retail,Strategic,ContactMatcher,171.55,5,0.0,80.6285,Low,0.47,2022-12
2022-03-14,Paul MacDonald,Chile,Puente Alto,AMER,LATAM,Johnson & Johnson,1055,Healthcare,Enterprise,OneView,157.92,5,0.2,17.766,Low,0.1125,2022-03
